Id,experiencia_profissional_prejudicada,Não acredito que minha experiência profissional seja afetada,Experiencia prejudicada devido a minha Cor Raça Etnia,Experiencia prejudicada devido a minha identidade de gênero,Experiencia prejudicada devido ao fato de ser PCD,aspectos_prejudicados,Quantidade de oportunidades de emprego/vagas recebidas,Senioridade das vagas recebidas em relação à sua experiência,Aprovação em processos seletivos/entrevistas,Oportunidades de progressão de carreira,Velocidade de progressão de carreira,Nível de cobrança no trabalho/Stress no trabalho,Atenção dada diante das minhas opiniões e ideias
00r21rb9pusd1b0v7ew00r21rw3dy69w,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Atenção dada pelas pessoas diante das minhas opiniões e ideias, Aprovação em processos seletivos/entrevistas, Quantidade de oportunidades de emprego/vagas recebidas",1.0,0.0,1.0,0.0,0.0,0.0,1.0
01zusm1faol2k2601zlthh05cj7iqyit,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que minha experiência profissional seja afetada devido ao fato de ser PCD",0.0,1.0,0.0,1.0,"Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas, Nível de cobrança no trabalho / Stress no trabalho, Relação com outros membros da empresa, em momentos de trabalho",1.0,0.0,1.0,0.0,0.0,1.0,0.0
02cv39tv75nm2z9zhcv02cv379703hvs,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Oportunidades de progressão de carreira, Quantidade de oportunidades de emprego/vagas recebidas, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,0.0,0.0,1.0,1.0,1.0,0.0
02yuxvtb6698rqwq8w02yuza594l7cut,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,"Velocidade de progressão de carreira, Aprovação em processos seletivos/entrevistas",0.0,0.0,1.0,0.0,1.0,0.0,0.0
04b8mbh28y4r0z04b8f42bs4j4ma44pl,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Velocidade de progressão de carreira, Senioridade das vagas recebidas em relação à sua experiência, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Oportunidades de progressão de carreira",0.0,1.0,0.0,1.0,1.0,1.0,1.0
04ellbzcl7lj3va9n1yx04eleu3mlvml,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho",0.0,1.0,1.0,1.0,1.0,1.0,1.0
04mb6m64f1b9566fnjwz04mb6m6bmelv,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Aprovação em processos seletivos/entrevistas,0.0,0.0,1.0,0.0,0.0,0.0,0.0
05csrlllrg5xhyryv7i305csrl8hfybu,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho, Relação com outros membros da empresa, em momentos de trabalho",0.0,1.0,1.0,1.0,0.0,1.0,0.0
05edmndszxd75nu8o05edmnbiuloulj9,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas, Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",1.0,1.0,1.0,1.0,1.0,0.0,1.0
06bekvb2fzxi6n0czi06bekvydrj06mi,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,"Quantidade de oportunidades de emprego/vagas recebidas, Oportunidades de progressão de carreira, Atenção dada pelas pessoas diante das minhas opiniões e ideias",1.0,0.0,0.0,1.0,0.0,0.0,1.0
06zhqgd6dr4xjy06zhqg21con02zwy42,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Aprovação em processos seletivos/entrevistas,0.0,0.0,1.0,0.0,0.0,0.0,0.0
